geo_id,X1,X2,X3,X4,X5
59_350_0001,0.17183357200070987,0,0.5549134133346426,0,0.2722296925518331
59_350_0002,0.40518120281481196,0.03784313698211932,0.28932425116446364,0,0.26651264004674646
59_350_0003,0.37693811375055386,0.0673069217986568,0.3924954594083877,0,0.16219044830134124
59_350_0004,0.3734979565838531,0.03102024403515499,0.2792527792817741,0,0.3150588249241722
59_350_0005,0.22983050201617106,0,0.5467035043789724,0,0.2224329407414063
59_350_0006,0.5658310277308044,0,0.19884593908695236,0,0.23419678374733557
59_350_0007,0.3832507773310027,0.11971275938701646,0.31342262592021475,0,0.18258510874887826
59_350_0008,0.379621000572875,0.043361948234081134,0.3655198988070005,0.018947352277784813,0.1914667848051449
59_350_0009,0.30973710023245576,0.02024300228590988,0.29936551643830367,0.18487564381907545,0.18482586400734652
59_350_0010,0.28775712987550234,0.1727506333653599,0.11016380945923826,0.2909650552692702,0.13743228735752738
59_350_0011,0.18394712836193688,0.16275895963729475,0.44674828909797865,0,0.20550911993291718
59_350_0012,0.4145362322272417,0,0.3808461376033373,0.08030524083344612,0.1233496544423961
59_350_0013,0.32581400286217915,0,0.5273920464355036,0.009538049450659704,0.13626826382746332
59_350_0014,0.25930360658541207,0.078929332728529,0.28398597515068197,0.30509943501084713,0.07189249827750513
59_350_0015,0.08402432602599857,0.06162053402850511,0.6426065542676312,0,0.21076479350965543
59_350_0016,0.4640515186760922,0.07366186601329379,0.2575352673851322,0,0.20361027568813442
59_350_0017,0.37792227689832686,0.10987552844861832,0.21751389127608883,0.15414116705541062,0.13954483671113702
59_350_0018,0.48767320835554995,0,0.2508547074475257,0,0.2603648558648905
59_350_0101,0.6410468627115913,0,0,0.35840306365105773,0
59_350_0102,0.6861582837935969,0,0.1462306433620534,0.16695845421413255,0
59_350_0104,0.41633386317192206,0,0.04590908641190928,0.5372887953029631,0
59_350_0105,0.6922665029807604,0,0,0.30717067628875827,0
59_350_0106,0.4563555341009336,0,0.19322048061056954,0.3498403810803751,0
59_350_0107,0.40513120482378184,0,0.3237150245804796,0.2704779893357593,0
59_350_0108,0.43306216865080305,0,0.21555533723131182,0.35082199477160636,0
59_350_0109,0.7284433694685329,0,0.13905440016637347,0.13173092878476622,0
59_350_0110,0.7492900753268141,0,0.16786862543859288,0.0820575114725902,0
59_350_0111,0.7234599551981971,0,0.2758856993188835,0,0
59_350_0113,0.6707142364580317,0,0.32880279539862795,0,0
59_350_0201,0.6489470969424692,0,0.21712122918541907,0.133162273647064,0
59_350_0203,0.48769691130853093,0,0.5115483135802523,0,0
59_350_0204,0.46817473594160347,0,0.5310896091076784,0,0
59_350_0206,0.45044243556475255,0,0.5487666364467029,0,0
59_350_0207,0.4206901466089133,0,0.5786149678397997,0,0
59_350_0208,0.365632200707998,0,0.6337669758255909,0,0
59_350_0209,0.48221244877071767,0,0.5171546782794153,0,0
59_350_0251,0.3178003457635393,0.001171228499297002,0.5734777431932825,0,0.1066336002324137
59_350_0252,0.4955026466848725,0,0.3324771375353354,0,0.17101154079976472
59_350_0253,0.6524646560972988,0.0771733989174778,0.2694546557088826,0,0
59_350_0254,0.5843559644431572,0.0849739940920173,0.3298097425283789,0,0
59_350_0255,0.4686674274411448,0.07037441054865395,0.40425594840268325,0,0.05572017413849971
59_350_0256,0.43512030543796965,0.04714639917650045,0.4879624863523456,0,0.028896519169174215
59_350_0257,0.5726199081935868,0.021170842238067346,0.36638233038459705,0,0.0389469306173352
59_350_0258,0.4817724732051349,0.10711046590202868,0.2831446092577067,0,0.12696534396452655
59_350_0259,0.4224924623568224,0.054934761223787064,0.5013603160536043,0,0.02039347205791284
59_350_0260,0.6159407089691732,0.033642527930042375,0.3496238252756824,0,0
59_350_0261,0.38089256708420005,0,0.524576876880524,0,0.09367591256167587
59_350_0262,0.21703674839664777,0.058271002666936654,0.6229352767634891,0,0.10082823869806061
59_350_0263,0.268025327228336,0,0.6054687804628,0,0.12562154236764655
59_350_0301,0.6877477978110369,0,0.017984767193392263,0.29367254343301474,0
59_350_0302,0.5762333624566292,0,0.27041298950584436,0.15264245665051224,0
59_350_0303,0.498660891923205,0,0.2830525816257291,0.21760333688626673,0
59_350_0304,0.5865206933974987,0,0.00550708972238466,0.4073737687641098,0
59_350_0305,0.422165834970118,0,0.36343128657172735,0.21370685372249426,0
59_350_0401,0.6723255284632139,0,0.3270113588303326,0,0
59_350_0402,0.43845977440540784,0,0.5609475729154708,0,0
59_350_0403,0.47903235745388817,0,0.5203971424746676,0,0
59_350_0405,0.5032251049596146,0,0.49614516803424924,0,0
59_350_0406,0.5315401630663529,0,0.4676602287893772,0,0
59_350_0407,0.7506860346409064,0,0,0.2188448699484989,0.0295947200864906
59_350_0408,0.6334463440860838,0,0.18128641233234194,0.07995653351997563,0.10432242698146985
59_350_0409,0.4455755844125136,0,0,0.5541127847109666,0
59_350_0410,0.34277789110946505,0,0.03488760803985774,0.6218913223156737,0
59_350_0411,0.6726810689642031,0,0.10997364766050377,0.21659522373846676,0
59_350_0412,0.8885532158989959,0,0,0.11079230574066097,0
59_350_0413,0.6065646075396498,0,0.3926009926893924,0,0
59_350_0414,0.41811442572327645,0,0.5811797000800561,0,0
59_350_0415,0.566413939586453,0,0.23055450245698197,0.20233349207839765,0
59_350_0416,0.3899362996953752,0,0,0.6096447147007366,0
59_350_0417,0.7721074632618137,0,0.024272011969959657,0.20277631941111013,0
59_350_0419,0.7415818207674321,0,0.22804879347973683,0.02944703279635032,0
59_350_0420,0.6858023333545726,0,0.23729577650206954,0.0423281142236439,0.03361235412942774
59_350_0501,0.3317058809351182,0,0,0.6681086502079197,0
59_350_0502,0.5526405186822253,0,0.04461778069404018,0.4021316833484918,0
59_350_0503,0.6383676033431804,0,0.10976980596296088,0.2511662100558118,0
59_350_0504,0.6044534542788618,0,0.18944165542238398,0.20549542682717392,0
59_350_0601,0.5475707969699565,0,0.452136048075059,0,0
59_350_0604,0.5376368229741851,0,0.46193856935443695,0,0
59_350_0605,0.7458344001546391,0,0.2536251410188487,0,0
59_350_0607,0.3955587266853554,0,0.6042252542461187,0,0
59_350_0608,0.0014523643952650872,0,0.9982436220379977,0,0
59_350_0609,0.21830248099592414,0,0.7105417048171031,0,0.07034567740137704
59_350_0610,0.17225542981386552,0,0.8274718411839981,0,0
59_350_0611,0.3266153867392575,0,0.672858369969805,0,0
59_350_0612,0.6866723566582349,0,0.3125591820619059,0,0
59_350_0613,0.46340206623419117,0,0.5359621452182225,0,0
59_350_0614,0.4464279573228483,0,0.5529926252729632,0,0
59_350_0615,0.18251378456605324,0,0.8171301982604803,0,0
59_350_0616,0.44751810642336703,0,0.5520519749420425,0,0
59_350_0618,0.5129757054550912,0,0.4864464472639289,0,0
